eventid,timestamp,src_ip,dst_ip,session,duration
cowrie.command.input,2021-02-12 11:03:05.505136+00:00,46.101.170.78,,699ec31c16b1,
cowrie.session.params,2021-02-12 11:03:05.739944+00:00,46.101.170.78,,245d647c50d7,
cowrie.command.input,2021-02-12 11:03:05.740828+00:00,46.101.170.78,,245d647c50d7,
cowrie.session.params,2021-02-12 11:03:05.782055+00:00,46.101.170.78,,50a1710da928,
cowrie.command.input,2021-02-12 11:03:05.782927+00:00,46.101.170.78,,50a1710da928,
cowrie.session.params,2021-02-12 11:03:06.049518+00:00,46.101.170.78,,512d3db61679,
cowrie.command.input,2021-02-12 11:03:06.050379+00:00,46.101.170.78,,512d3db61679,
cowrie.session.params,2021-02-12 11:03:06.093834+00:00,46.101.170.78,,d05de82095ee,
cowrie.command.input,2021-02-12 11:03:06.094710+00:00,46.101.170.78,,d05de82095ee,
cowrie.session.params,2021-02-12 11:03:06.160218+00:00,46.101.170.78,,8de64e11eff4,
cowrie.command.input,2021-02-12 11:03:06.161094+00:00,46.101.170.78,,8de64e11eff4,
cowrie.session.params,2021-02-12 11:03:06.499697+00:00,46.101.170.78,,724be802578d,
cowrie.command.input,2021-02-12 11:03:06.500685+00:00,46.101.170.78,,724be802578d,
cowrie.session.params,2021-02-12 11:03:06.644847+00:00,46.101.170.78,,32b9b9296860,
cowrie.command.input,2021-02-12 11:03:06.708527+00:00,46.101.170.78,,32b9b9296860,
cowrie.session.params,2021-02-12 11:03:06.810672+00:00,46.101.170.78,,c1d1903651aa,
cowrie.command.input,2021-02-12 11:03:06.811531+00:00,46.101.170.78,,c1d1903651aa,
cowrie.session.file_download,2021-02-12 11:03:06.841998+00:00,46.101.170.78,,ee5a71984425,
cowrie.session.file_download,2021-02-12 11:03:07.030432+00:00,46.101.170.78,,f5340c2af215,
cowrie.session.file_download,2021-02-12 11:03:07.209217+00:00,46.101.170.78,,8de64e11eff4,
cowrie.session.file_download,2021-02-12 11:03:07.214945+00:00,46.101.170.78,,32b9b9296860,
cowrie.session.file_download,2021-02-12 11:03:07.216744+00:00,46.101.170.78,,699ec31c16b1,
cowrie.session.file_download,2021-02-12 11:03:07.229000+00:00,46.101.170.78,,17e4251c67c1,
cowrie.session.file_download,2021-02-12 11:03:07.230620+00:00,46.101.170.78,,50a1710da928,
cowrie.session.file_download,2021-02-12 11:03:07.232346+00:00,46.101.170.78,,245d647c50d7,
cowrie.session.file_download,2021-02-12 11:03:07.233802+00:00,46.101.170.78,,ee5a71984425,
cowrie.session.file_download.failed,2021-02-12 11:03:57.470225+00:00,46.101.170.78,,ee5a71984425,
cowrie.session.file_download,2021-02-12 11:03:57.494129+00:00,46.101.170.78,,c1d1903651aa,
cowrie.session.file_download,2021-02-12 11:03:57.496048+00:00,46.101.170.78,,512d3db61679,
cowrie.session.file_download,2021-02-12 11:03:57.497675+00:00,46.101.170.78,,7c4516690ed9,
cowrie.session.file_download,2021-02-12 11:03:57.499238+00:00,46.101.170.78,,724be802578d,
cowrie.session.file_download,2021-02-12 11:03:57.501057+00:00,46.101.170.78,,d05de82095ee,
cowrie.session.file_download.failed,2021-02-12 11:03:57.507073+00:00,46.101.170.78,,8de64e11eff4,
cowrie.session.file_download.failed,2021-02-12 11:04:47.745976+00:00,46.101.170.78,,8de64e11eff4,
cowrie.session.file_download.failed,2021-02-12 11:04:47.749727+00:00,46.101.170.78,,32b9b9296860,
cowrie.session.file_download.failed,2021-02-12 11:05:37.983976+00:00,46.101.170.78,,32b9b9296860,
cowrie.session.file_download.failed,2021-02-12 11:05:37.988062+00:00,46.101.170.78,,699ec31c16b1,
cowrie.session.file_download.failed,2021-02-12 11:06:28.216029+00:00,46.101.170.78,,699ec31c16b1,
cowrie.session.file_download.failed,2021-02-12 11:06:28.219857+00:00,46.101.170.78,,17e4251c67c1,
cowrie.session.file_download.failed,2021-02-12 11:07:18.448056+00:00,46.101.170.78,,17e4251c67c1,
cowrie.session.file_download.failed,2021-02-12 11:07:18.452010+00:00,46.101.170.78,,50a1710da928,
cowrie.session.file_download.failed,2021-02-12 11:08:08.685347+00:00,46.101.170.78,,50a1710da928,
cowrie.session.file_download.failed,2021-02-12 11:08:08.689037+00:00,46.101.170.78,,245d647c50d7,
cowrie.session.file_download.failed,2021-02-12 11:08:58.921655+00:00,46.101.170.78,,245d647c50d7,
cowrie.session.closed,2021-02-12 11:08:58.925358+00:00,46.101.170.78,,17e4251c67c1,355.91782665252686
cowrie.session.closed,2021-02-12 11:08:58.926634+00:00,46.101.170.78,,50a1710da928,355.92346477508545
cowrie.session.closed,2021-02-12 11:08:58.927893+00:00,46.101.170.78,,245d647c50d7,355.92691230773926
cowrie.session.file_download,2021-02-12 11:08:58.929698+00:00,46.101.170.78,,673e50040790,
cowrie.log.closed,2021-02-12 11:08:58.931951+00:00,46.101.170.78,,c1d1903651aa,352.1214368343353
cowrie.session.closed,2021-02-12 11:08:58.933506+00:00,46.101.170.78,,c1d1903651aa,355.9270689487457
cowrie.session.file_download,2021-02-12 11:08:58.934703+00:00,46.101.170.78,,cce20dc708e8,
cowrie.log.closed,2021-02-12 11:08:58.936676+00:00,46.101.170.78,,512d3db61679,352.8873174190521
cowrie.session.closed,2021-02-12 11:08:58.937872+00:00,46.101.170.78,,512d3db61679,355.92921710014343
cowrie.session.file_download,2021-02-12 11:08:58.938772+00:00,46.101.170.78,,5502e0f67ab6,
cowrie.log.closed,2021-02-12 11:08:58.940398+00:00,46.101.170.78,,7c4516690ed9,353.4771738052368
cowrie.session.closed,2021-02-12 11:08:58.941561+00:00,46.101.170.78,,7c4516690ed9,355.9427888393402
cowrie.log.closed,2021-02-12 11:08:58.942497+00:00,46.101.170.78,,724be802578d,352.4429597854614
cowrie.session.closed,2021-02-12 11:08:58.943664+00:00,46.101.170.78,,724be802578d,355.93940472602844
cowrie.log.closed,2021-02-12 11:08:58.944608+00:00,46.101.170.78,,d05de82095ee,352.8509464263916
